1087;7;357
11763;7;87
45;7;225
54;7;4529
62;7;180
88;7;390
90;7;33
91;7;54709
94;7;551
101;7;2971
1351;7;1186
1353;7;456
1781;7;867
1783;7;22
7991;7;416
7992;7;227
7993;7;265
7995;7;286
8094;7;82
8096;7;319
8101;7;157
8162;7;24
8168;7;245
8170;7;277
8195;7;19864
8197;7;234
8203;7;1901
8323;7;199
8395;7;252
8436;7;495
8543;7;205
8567;7;613
8569;7;112
8570;7;88
8571;7;129
8657;7;108
8660;7;642
9544;7;33
9545;7;36
10441;7;33
11010;7;247
11400;7;207
11549;7;9066
11551;7;94
11563;7;434
11629;7;377
11641;7;1361
11681;7;179
11684;7;98
11686;7;102
11689;7;254
11691;7;128
11693;7;189
11698;7;59
11700;7;269
11702;7;212
11704;7;974
11725;7;120
11727;7;1210
11734;7;683
11745;7;766
11755;7;127
11757;7;417
11759;7;101
11761;7;62
11765;7;640
11801;7;1340
11814;7;103
11817;7;69
11819;7;97
11821;7;69
11823;7;113
12403;7;244
12456;7;6236
12790;7;33
13928;7;15160
16315;7;97
16653;7;2599
16655;7;174
17097;7;189
17131;7;1014
17214;7;209
17229;7;217
17231;7;172
17321;7;1455
17379;7;125
17471;7;834
17473;7;119
17671;7;62
17710;7;203
17723;7;661
17870;7;275
18044;7;171
18056;7;154
18058;7;323
18153;7;1458
18518;7;652
18611;7;90
18619;7;156
18649;7;2507
18909;7;112
18914;7;461
19000;7;324
19100;7;3081
19279;7;1274
19319;7;563
19352;7;551
19382;7;754
19399;7;1732
19583;7;688
19674;7;1080
19740;7;36
19900;7;21031
20278;7;1520
20487;7;840
22568;7;296
22594;7;464
22598;7;1409
22600;7;963
22603;7;3198
22606;7;102
22608;7;330
22839;7;554
22886;7;9331
23508;7;341
23712;7;3854
23714;7;908
24320;7;1235
24553;7;692
24572;7;1674
24754;7;722
24922;7;780
25081;7;23
25183;7;1516
25210;7;1363
25212;7;214
25213;7;206
25214;7;52
25219;7;477
25240;7;88
25318;7;598
25326;7;7916
25442;7;199
25482;7;15141
25524;7;598
25567;7;10324
25623;7;4110
25692;7;265
25696;7;10109
25732;7;5762
26255;7;1348
26339;7;1421
26551;7;8092
29040;7;890
29057;7;36
29060;7;6750
29088;7;6814
29177;7;1837
29290;7;7758
29444;7;389
29446;7;495
29467;7;38030
29766;7;873
29787;7;4597
29816;7;761
29826;7;39
29860;7;316
29866;7;168
31024;7;1983
31082;7;98
31083;7;64
31085;7;137
31086;7;194
31089;7;3039
31091;7;814
31093;7;1176
31095;7;65
31097;7;824
31099;7;262
31101;7;65
31143;7;68
31192;7;137
31254;7;50
31256;7;1491
31258;7;84
31269;7;13
31271;7;401
31432;7;13
31434;7;737
31436;7;1009
31516;7;224
31518;7;354
31528;7;53
31530;7;285
31532;7;431
31533;7;107
31547;7;57
31549;7;277
31550;7;26
31566;7;119
31567;7;2195
31574;7;208
31575;7;256
31577;7;44
31605;7;753
31607;7;34
31609;7;81
31661;7;43
31663;7;485
31665;7;2057
31677;7;177
31696;7;147
31697;7;63
31699;7;45
31700;7;118
31704;7;3868
31706;7;627
31708;7;759
31710;7;65
31712;7;2461
31744;7;34
31746;7;808
31748;7;59
31865;7;89
32319;7;486
31875;7;1135
31877;7;177
31882;7;2042
31884;7;91
31886;7;140
31888;7;261
32276;7;676
31890;7;147
31892;7;106
33242;7;1177
31894;7;441
31896;7;514
32612;7;599
31898;7;191
32068;7;312
32246;7;26
32163;7;275
32165;7;2669
33234;7;41
32170;7;710
32172;7;1156
36147;7;46
32174;7;1035
32176;7;373
34262;7;178
32178;7;1629
32180;7;687
33224;7;1774
32182;7;663
32184;7;3077
